Series Name,Series Code,Country Name,Country Code,2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,Australia,AUS,1.92198614075254,6.98450782182951,-3.60881808242921,4.08488203440498,5.20115545952257,4.27796453137459,3.08878274061045,3.06550804311002,4.6878302982878,3.72039040303077,3.45509746249548,4.30669716613681,3.47195792643409,3.56139685211994,3.6334731204036,4.24885506506051,2.79835639813249,1.15361755607952
"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,Canada,CAN,0.782967555453216,0.141465896048034,2.17816380917594,4.87410128955105,8.20055904886214,4.5151371416977,1.52413118076927,1.83725638740881,2.13783310760835,2.70016900895674,3.62980398357006,3.55390337011002,3.85389453706153,2.23835012140903,1.53752071953934,2.46931207254863,2.80952227646774,1.84660987217828
"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,China,CHN,3.48740330983945,3.4836411137418,4.55425403392961,4.50857901572192,4.40096483008155,3.73363488970446,2.56888829067473,4.00356290026293,3.70882890211806,2.82709055579985,3.03987546926686,2.55923344660685,2.1921816030386,1.55564214957722,1.34913267883962,1.69390529382619,1.31071877840365,1.7231837927804
"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,United Arab Emirates,ARE,3.42266271330333,6.76715211324682,6.03481603924168,5.76543753210014,5.50043971843078,1.6048746086738,0.447367363952641,3.03559369451727,2.03957459089259,2.4873633634704,2.43989565736958,2.67360384789356,2.30933522457138,2.60111969076035,2.65141548161459,2.43186975983804,4.27633945790034,5.68984379115185
"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,United States,USA,1.02218472001084,1.74869134454691,1.09166213272067,2.16033528740671,2.39469093772646,2.30937902080946,1.11260034220261,1.75453268550496,1.68911277121237,1.54020811932936,1.71066753395925,1.43502130688419,2.80914762910409,2.53749765919682,1.95521086285051,1.0457039920427,1.47207498033874,0.707068619330959
"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,United Kingdom,GBR,1.75099805819842,3.59311217897595,9.92820086489634,7.51450436948492,6.7742346209273,8.64587954889008,0.601707405002711,2.67859911725338,1.01305204131073,1.7274537945239,1.95502558727387,1.92124487781883,1.54465680973005,12.0316359317202,4.67164255559398,-0.870539117616634,0.692697277491496,4.89815817915433
"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,India,IND,0.605889254716748,0.765601404573582,0.886100720125194,2.13016842533494,2.07339574616693,3.62052189719656,2.65159312683012,1.63503427378005,2.00206555189983,1.31293433704075,1.51627596536508,1.69565878566784,2.09211575768566,1.93736319812939,1.5073165808981,1.55821479344505,1.78738173893008,2.41266468032859
"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,Russian Federation,RUS,1.84237738388135,2.60618528059526,2.02980402372802,3.79771796044009,4.29894838602817,4.50269877799769,2.99212947973039,2.83082730005737,2.69235742380976,2.29079639619755,3.01939794071852,1.069876215093,0.502608373795545,2.54849873389468,1.8140929436605,0.530060511511943,1.88851854086689,0.636434049707395
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Data from database: World Development Indicators,,,,,,,,,,,,,,,,,,,,,
Last Updated: 05/10/2023,,,,,,,,,,,,,,,,,,,,,
